Run,gemm_kernel,Cijk_Ailk_Bljk_HBH_MT128x128x16_SN_APM1_AF0EM1_AF1EM1_AMAS3_ASAE01_ASCE01_ASEM1_BL1_DTL0_ETSP_EPS1_FL0_GRVW8_GSU1_GSUAMB_ISA906_IU2_K1_KLA_LPA0_LPB0_LDL2_LRVW8_MAC_MDA2_NLCA1_NLCB1_ONLL1_PK0_PGR1_PLR1_RK0_SU32_SUM0_SUS256_SVW4_SNLL0_TT8_8_USFGROn1_VAW2_VSn1_VW8_WG16_16_1_WGM8
1,0.00369,0.001122
2,0.003684,0.001119
3,0.003687,0.00112
4,0.003688,0.001124
5,0.003684,0.001122
6,0.003689,0.001079
7,0.003684,0.001124
8,0.003691,0.001121
9,0.003691,0.001121
10,0.003686,0.001118

Average (no max/min)
Average,0.003687375,0.001120875
